"FFQ0029.Code.or.Value","FFQ0029.Value.Description","FFQ0029.Count","FFQ0029.Cumulative","FFQ0029.Skip.to.Item"
1,"never",3577,3577,NA
2,"1-6 times per year",740,4317,NA
3,"7-11 times per year",256,4573,NA
4,"1 time per month",267,4840,NA
5,"2-3 times per month",340,5180,NA
6,"1 time per week",239,5419,NA
7,"2 times per week",230,5649,NA
8,"3-4 times per week",145,5794,NA
9,"5-6 times per week",55,5849,NA
10,"1 time per day",48,5897,NA
11,"2 or more times per day",15,5912,NA
88,"Blank",89,6001,NA
99,"Error",12,6013,NA
