"OHX20CTC.Code.or.Value","OHX20CTC.Value.Description","OHX20CTC.Count","OHX20CTC.Cumulative","OHX20CTC.Skip.to.Item"
"A","Primary tooth with a restored surface condition",400,400,NA
"D","Sound primary tooth",1403,1803,NA
"E","Missing due to dental disease",385,2188,NA
"F","Permanent tooth with a restored surface condition",1220,3408,NA
"J","Permanent root tip is present but no restorative replacement is present",61,3469,NA
"K","Primary tooth with a dental carious surface condition",75,3544,NA
"M","Missing due to other causes",15,3559,NA
"P","Missing due to dental disease but replaced by a removable restoration",467,4026,NA
"Q","Missing due to other causes but replaced by a removable restoration",16,4042,NA
"R","Missing due to dental disease but replaced by a fixed restoration",39,4081,NA
"S","Sound permanent tooth",4300,8381,NA
"T","Permanent root tip is present but a restorative replacement is present",1,8382,NA
"U","Unerupted",357,8739,NA
"X","Missing due to other causes but replaced by a fixed restoration",2,8741,NA
"Y","Tooth present, condition cannot be assessed",7,8748,NA
"Z","Permanent tooth with a dental carious surface condition",110,8858,NA
"< blank >","Missing",307,9165,NA
