"FFQ0107.Code.or.Value","FFQ0107.Value.Description","FFQ0107.Count","FFQ0107.Cumulative","FFQ0107.Skip.to.Item"
1,"never",2976,2976,NA
2,"1-6 times per year",1152,4128,NA
3,"7-11 times per year",521,4649,NA
4,"1 time per month",445,5094,NA
5,"2-3 times per month",498,5592,NA
6,"1 time per week",222,5814,NA
7,"2 times per week",224,6038,NA
8,"3-4 times per week",134,6172,NA
9,"5-6 times per week",47,6219,NA
10,"1 time per day",53,6272,NA
11,"2 or more times per day",23,6295,NA
88,"Blank",152,6447,NA
99,"Error",25,6472,NA
