"OHX31RSC.Code.or.Value","OHX31RSC.Value.Description","OHX31RSC.Count","OHX31RSC.Cumulative","OHX31RSC.Skip.to.Item"
"Coronal Caries: 2nd restoration code #31","Value was recorded",6,6,NA
"0","lingual AMALGAM restoration",0,6,NA
"1","occlusal AMALGAM restoration",11,17,NA
"2","facial AMALGAM restoration",2,19,NA
"3","mesial AMALGAM restoration",1,20,NA
"4","distal AMALGAM restoration",0,20,NA
"5","lingual OTHER restoration",0,20,NA
"6","occlusal OTHER restoration",4,24,NA
"7","facial OTHER restoration",3,27,NA
"8","mesial OTHER restoration",0,27,NA
"9","distal OTHER restoration",1,28,NA
"-1","Crown (non-specific full-coverage restoration)",1,29,NA
"< blank >","Missing",9136,9165,NA
