"FFQ0037.Code.or.Value","FFQ0037.Value.Description","FFQ0037.Count","FFQ0037.Cumulative","FFQ0037.Skip.to.Item"
1,"never",2998,2998,NA
2,"1-6 times per year",1017,4015,NA
3,"7-11 times per year",447,4462,NA
4,"1 time per month",549,5011,NA
5,"2-3 times per month",595,5606,NA
6,"1 time per week",338,5944,NA
7,"2 times per week",238,6182,NA
8,"3-4 times per week",105,6287,NA
9,"5-6 times per week",22,6309,NA
10,"1 time per day",17,6326,NA
11,"2 or more times per day",4,6330,NA
88,"Blank",116,6446,NA
99,"Error",26,6472,NA
