"OHX21CTC.Code.or.Value","OHX21CTC.Value.Description","OHX21CTC.Count","OHX21CTC.Cumulative","OHX21CTC.Skip.to.Item"
"D","Sound primary tooth",1491,1491,NA
"E","Missing due to dental disease",218,1709,NA
"J","Permanent root tip is present but no restorative replacement is present",52,1761,NA
"K","Primary tooth with surface condition (s)",373,2134,NA
"M","Missing due to other causes",244,2378,NA
"P","Missing due to dental disease but replaced by a removable restoration",392,2770,NA
"Q","Missing due to other causes but replaced by a removable restoration",0,2770,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",12,2782,NA
"S","Sound permanent tooth",4697,7479,NA
"T","Permanent root tip is present but a restorative replacement is present",1,7480,NA
"U","Unerupted",102,7582,NA
"X","Missing due to other causes, but replaced by a fixed restoration",0,7582,NA
"Y","Tooth present, condition cannot be assessed",71,7653,NA
"Z","Permanent tooth with surface condition (s)",788,8441,NA
"< blank >","Missing",515,8956,NA
