"SMQ621.Code.or.Value","SMQ621.Value.Description","SMQ621.Count","SMQ621.Cumulative","SMQ621.Skip.to.Item"
"1","I have never smoked, not even a puff",734,734,"SMAQUEX2"
"2","1 or more puffs but never a whole cigarette",44,778,"SMAQUEX2"
"3","1 cigarette",10,788,""
"4","2 to 5 cigarettes",13,801,""
"5","6 to 15 cigarettes",7,808,""
"6","16 to 25 cigarettes",4,812,""
"7","26 to 99 cigarettes",2,814,""
"8","100 or more cigarettes",6,820,""
"77","Refused",0,820,"SMAQUEX2"
"99","Don't know",1,821,"SMAQUEX2"
".","Missing",5903,6724,""
