"OHX31CSC.Code.or.Value","OHX31CSC.Value.Description","OHX31CSC.Count","OHX31CSC.Cumulative","OHX31CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",1208,1208,NA
"0","Lingual surface caries",0,1208,NA
"1","Occlusal/incisal caries",166,1374,NA
"2","Facial surface caries",49,1423,NA
"3","Mesial caries",2,1425,NA
"4","Distal caries",3,1428,NA
"5","Lingual surface restoration",0,1428,NA
"6","Occlusal/incisal restoration",830,2258,NA
"7","Facial surface restoration",78,2336,NA
"8","Mesial restoration",1,2337,NA
"9","Distal restoration",0,2337,NA
"< blank >","Missing",6510,8847,NA
