"DR2HELPD.Code.or.Value","DR2HELPD.Value.Description","DR2HELPD.Count","DR2HELPD.Cumulative","DR2HELPD.Skip.to.Item"
"1","SP",242,242,NA
"2","Mother of SP",223,465,NA
"3","Father of SP",29,494,NA
"4","Wife of SP",120,614,NA
"5","Husband of SP",21,635,NA
"6","Daughter of SP",14,649,NA
"7","Son of SP",2,651,NA
"8","Grandparent of SP",7,658,NA
"9","Friend, Partner, Non Relative",14,672,NA
"10","Translator, not a HH member",2,674,NA
"11","Child care provider, Caretaker",8,682,NA
"12","Other Relative",49,731,NA
"13","No one",7559,8290,NA
"14","Other specify",2,8292,NA
"77","Refused",0,8292,NA
"99","Don't know",4,8296,NA
".","Missing",1347,9643,NA
