"FFQ0083.Code.or.Value","FFQ0083.Value.Description","FFQ0083.Count","FFQ0083.Cumulative","FFQ0083.Skip.to.Item"
1,"never",717,717,NA
2,"1-6 times per year",932,1649,NA
3,"7-11 times per year",774,2423,NA
4,"1 time per month",749,3172,NA
5,"2-3 times per month",1171,4343,NA
6,"1 time per week",600,4943,NA
7,"2 times per week",533,5476,NA
8,"3-4 times per week",320,5796,NA
9,"5-6 times per week",79,5875,NA
10,"1 time per day",39,5914,NA
11,"2 or more times per day",20,5934,NA
88,"Blank",62,5996,NA
99,"Error",17,6013,NA
