"FFQ0032.Code.or.Value","FFQ0032.Value.Description","FFQ0032.Count","FFQ0032.Cumulative","FFQ0032.Skip.to.Item"
1,"never",938,938,NA
2,"1-6 times per year",995,1933,NA
3,"7-11 times per year",626,2559,NA
4,"1 time per month",646,3205,NA
5,"2-3 times per month",1120,4325,NA
6,"1 time per week",576,4901,NA
7,"2 times per week",693,5594,NA
8,"3-4 times per week",446,6040,NA
9,"5-6 times per week",164,6204,NA
10,"1 time per day",107,6311,NA
11,"2 or more times per day",32,6343,NA
88,"Blank",93,6436,NA
99,"Error",36,6472,NA
