"OHX29CSC.Code.or.Value","OHX29CSC.Value.Description","OHX29CSC.Count","OHX29CSC.Cumulative","OHX29CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",1045,1045,NA
"0","Lingual surface caries",1,1046,NA
"1","Occlusal/incisal caries",76,1122,NA
"2","Facial surface caries",11,1133,NA
"3","Mesial caries",9,1142,NA
"4","Distal caries",5,1147,NA
"5","Lingual surface restoration",0,1147,NA
"6","Occlusal/incisal restoration",403,1550,NA
"7","Facial surface restoration",23,1573,NA
"8","Mesial restoration",2,1575,NA
"9","Distal restoration",2,1577,NA
"< blank >","Missing",7010,8587,NA
