"DR1_030Z.Code.or.Value","DR1_030Z.Value.Description","DR1_030Z.Count","DR1_030Z.Cumulative","DR1_030Z.Skip.to.Item"
"1","Breakfast",20319,20319,NA
"2","Lunch",21949,42268,NA
"3","Dinner",24065,66333,NA
"4","Supper",5286,71619,NA
"5","Brunch",1277,72896,NA
"6","Snack",18608,91504,NA
"7","Drink",6642,98146,NA
"8","Infant feeding",2784,100930,NA
"9","Extended consumption",2439,103369,NA
"10","Desayano",1987,105356,NA
"11","Almuerzo",1534,106890,NA
"12","Comida",1484,108374,NA
"13","Merienda",703,109077,NA
"14","Cena",1945,111022,NA
"15","Entre comida",385,111407,NA
"16","Botana",297,111704,NA
"17","Bocadillo",415,112119,NA
"18","Tentempie",31,112150,NA
"19","Bebida",531,112681,NA
"91","Other",0,112681,NA
"99","Don't know",2,112683,NA
".","Missing",0,112683,NA
