"OHX10CTC.Code.or.Value","OHX10CTC.Value.Description","OHX10CTC.Count","OHX10CTC.Cumulative","OHX10CTC.Skip.to.Item"
"D","Sound primary tooth",1374,1374,NA
"E","Missing due to dental disease",169,1543,NA
"J","Permanent root tip is present but no restorative replacement is present",53,1596,NA
"K","Primary tooth with surface condition (s)",60,1656,NA
"M","Missing due to other causes",26,1682,NA
"P","Missing due to dental disease but replaced by a removable restoration",631,2313,NA
"Q","Missing due to other causes but replaced by a removable restoration",5,2318,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",60,2378,NA
"S","Sound permanent tooth",5066,7444,NA
"T","Permanent root tip is present but a restorative replacement is present",5,7449,NA
"U","Unerupted",130,7579,NA
"X","Missing due to other causes, but replaced by a fixed restoration",19,7598,NA
"Y","Tooth present, condition cannot be assessed",179,7777,NA
"Z","Permanent tooth with surface condition (s)",664,8441,NA
"< blank >","Missing",515,8956,NA
