"OHX09CTC.Code.or.Value","OHX09CTC.Value.Description","OHX09CTC.Count","OHX09CTC.Cumulative","OHX09CTC.Skip.to.Item"
"D","Sound primary tooth",746,746,NA
"E","Missing due to dental disease",107,853,NA
"J","Permanent root tip is present but no restorative replacement is present",26,879,NA
"K","Primary tooth with surface condition (s)",109,988,NA
"M","Missing due to other causes",7,995,NA
"P","Missing due to dental disease but replaced by a removable restoration",802,1797,NA
"Q","Missing due to other causes but replaced by a removable restoration",39,1836,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",43,1879,NA
"S","Sound permanent tooth",5250,7129,NA
"T","Permanent root tip is present but a restorative replacement is present",2,7131,NA
"U","Unerupted",68,7199,NA
"X","Missing due to other causes, but replaced by a fixed restoration",26,7225,NA
"Y","Tooth present, condition cannot be assessed",189,7414,NA
"Z","Permanent tooth with surface condition (s)",831,8245,NA
"< blank >","Missing",602,8847,NA
