"OHX18CSC.Code.or.Value","OHX18CSC.Value.Description","OHX18CSC.Count","OHX18CSC.Cumulative","OHX18CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #18","Value was recorded",1201,1201,NA
"0","Lingual surface caries",1,1202,NA
"1","Occlusal/incisal caries",128,1330,NA
"2","Facial surface caries",40,1370,NA
"3","Mesial caries",3,1373,NA
"4","Distal caries",1,1374,NA
"5","Lingual surface restoration",0,1374,NA
"6","Occlusal/incisal restoration",894,2268,NA
"7","Facial surface restoration",64,2332,NA
"8","Mesial restoration",1,2333,NA
"9","Distal restoration",0,2333,NA
"< blank >","Missing",6623,8956,NA
