"OHX20CTC.Code.or.Value","OHX20CTC.Value.Description","OHX20CTC.Count","OHX20CTC.Cumulative","OHX20CTC.Skip.to.Item"
"D","Sound primary tooth",1153,1153,NA
"E","Missing due to dental disease",348,1501,NA
"K","Primary tooth with surface condition (s)",398,1899,NA
"M","Missing due to other causes",3,1902,NA
"R","Missing due to dental disease but replaced",625,2527,NA
"S","Sound permanent tooth",4279,6806,NA
"U","Unerupted",63,6869,NA
"X","Missing due to other causes but replaced",5,6874,NA
"Y","Tooth present, condition cannot be assessed",6,6880,NA
"Z","Permanent tooth with surface condition (s)",1162,8042,NA
"< blank >","Missing",545,8587,NA
