"OHX28CTC.Code.or.Value","OHX28CTC.Value.Description","OHX28CTC.Count","OHX28CTC.Cumulative","OHX28CTC.Skip.to.Item"
"D","Sound primary tooth",1108,1108,NA
"E","Missing due to dental disease",204,1312,NA
"J","Permanent root tip is present but no restorative replacement is present",37,1349,NA
"K","Primary tooth with surface condition (s)",296,1645,NA
"M","Missing due to other causes",211,1856,NA
"P","Missing due to dental disease, but replaced by a removable restoration",535,2391,NA
"Q","Missing due to other causes, but replaced by a removable restoration",2,2393,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",16,2409,NA
"S","Sound permanent tooth",4995,7404,NA
"T","Permanent root tip is present but a restorative replacement is present",1,7405,NA
"U","Unerupted",39,7444,NA
"X","Missing due to other causes, but replaced by a fixed restoration",0,7444,NA
"Y","Tooth present, condition cannot be assessed",1,7445,NA
"Z","Permanent tooth with surface condition (s)",800,8245,NA
"< blank >","Missing",602,8847,NA
