"GTDCODE.Code.or.Value","GTDCODE.Value.Description","GTDCODE.Count","GTDCODE.Cumulative","GTDCODE.Skip.to.Item"
"0","OGTT complete",2574,2574,NA
"20","Hemophiliac",0,2574,NA
"21","Cancer chemotherapy within 4 weeks",0,2574,NA
"22","Diabetic on medications",302,2876,NA
"23","Refused venipuncture",1,2877,NA
"24","Ill/faint during test",16,2893,NA
"25","Venipuncture unsuccessful",14,2907,NA
"26","Currently pregnant",1,2908,NA
"27","Refused glucose challenge",18,2926,NA
"28","Fasting less than 9 hours",10,2936,NA
"29","Came late/left early",19,2955,NA
"30","Other",208,3163,NA
".","Missing",0,3163,NA
