"OHX22CSC.Code.or.Value","OHX22CSC.Value.Description","OHX22CSC.Count","OHX22CSC.Cumulative","OHX22CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",132,132,NA
"0","Lingual surface caries",3,135,NA
"2","Facial surface caries",38,173,NA
"3","Mesial caries",6,179,NA
"4","Distal caries",12,191,NA
"5","Lingual surface restoration",5,196,NA
"7","Facial surface restoration",37,233,NA
"8","Mesial restoration",7,240,NA
"9","Distal restoration",31,271,NA
"< blank >","Missing",8316,8587,NA
