"OCD391.Code.or.Value","OCD391.Value.Description","OCD391.Count","OCD391.Cumulative","OCD391.Skip.to.Item"
"1","Agriculture, Forestry, Fishing",133,133,NA
"2","Mining",28,161,NA
"3","Utilities",26,187,NA
"4","Construction",304,491,NA
"5","Manufacturing: Durable Goods",427,918,NA
"6","Manufacturing: Non-Durable Goods",236,1154,NA
"7","Wholesale Trade",84,1238,NA
"8","Retail Trade",389,1627,NA
"9","Transportation, Warehousing",175,1802,NA
"10","Information Services",101,1903,NA
"11","Finance, Insurance",129,2032,NA
"12","Real Estate, Rental, Leasing",38,2070,NA
"13","Professional, Scientific, Technical Services",90,2160,NA
"14","Management, Administrative, Waste Services",144,2304,NA
"15","Educational Services",227,2531,NA
"16","Health Care, Social Assistance",395,2926,NA
"17","Arts, Entertainment, Recreation",76,3002,NA
"18","Accommodation, Food Services",352,3354,NA
"19","Other Services",135,3489,NA
"20","Private Household",62,3551,NA
"21","Public Administration",167,3718,NA
"22","Armed Forces",91,3809,NA
"98","Text present but uncodable",3,3812,NA
"99","Blank but applicable",0,3812,NA
".","Missing",3077,6889,NA
