"FFQ0073.Code.or.Value","FFQ0073.Value.Description","FFQ0073.Count","FFQ0073.Cumulative","FFQ0073.Skip.to.Item"
1,"never",1448,1448,NA
2,"1-6 times per year",1173,2621,NA
3,"7-11 times per year",768,3389,NA
4,"1 time per month",768,4157,NA
5,"2-3 times per month",937,5094,NA
6,"1 time per week",401,5495,NA
7,"2 times per week",275,5770,NA
8,"3-4 times per week",104,5874,NA
9,"5-6 times per week",27,5901,NA
10,"1 time per day",24,5925,NA
11,"2 or more times per day",9,5934,NA
88,"Blank",63,5997,NA
99,"Error",16,6013,NA
