"OHX04CTC.Code.or.Value","OHX04CTC.Value.Description","OHX04CTC.Count","OHX04CTC.Cumulative","OHX04CTC.Skip.to.Item"
"D","Sound primary tooth",1477,1477,NA
"E","Missing due to dental disease",418,1895,NA
"J","Permanent root tip is present but no restorative replacement is present",95,1990,NA
"K","Primary tooth with surface condition (s)",390,2380,NA
"M","Missing due to other causes",5,2385,NA
"P","Missing due to dental disease but replaced by a removable restoration",682,3067,NA
"Q","Missing due to other causes but replaced by a removable restoration",35,3102,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",98,3200,NA
"S","Sound permanent tooth",3777,6977,NA
"T","Permanent root tip is present but a restorative replacement is present",0,6977,NA
"U","Unerupted",318,7295,NA
"X","Missing due to other causes, but replaced by a fixed restoration",0,7295,NA
"Y","Tooth present, condition cannot be assessed",28,7323,NA
"Z","Permanent tooth with surface condition (s)",1642,8965,NA
"< blank >","Missing",457,9422,NA
