"OHX24CSC.Code.or.Value","OHX24CSC.Value.Description","OHX24CSC.Count","OHX24CSC.Cumulative","OHX24CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #24","Value was recorded",75,75,NA
"0","Lingual surface caries",3,78,NA
"2","Facial surface caries",10,88,NA
"3","Mesial caries",3,91,NA
"4","Distal caries",5,96,NA
"5","Lingual surface restoration",2,98,NA
"7","Facial surface restoration",11,109,NA
"8","Mesial restoration",3,112,NA
"9","Distal restoration",2,114,NA
"< blank >","Missing",8842,8956,NA
