"PFQ063C.Code.or.Value","PFQ063C.Value.Description","PFQ063C.Count","PFQ063C.Cumulative","PFQ063C.Skip.to.Item"
"10","Arthritis/rheumatism",10,10,NA
"11","Back or neck problem",15,25,NA
"12","Birth defect",2,27,NA
"13","Cancer",6,33,NA
"14","Depression/anxiety/emotional problem",63,96,NA
"15","Other developmental problem (such as cerebral palsy)",4,100,NA
"16","Diabetes",40,140,NA
"17","Fractures, bone/joint injury",65,205,NA
"18","Hearing problem",36,241,NA
"19","Heart problem",51,292,NA
"20","Hypertension/high blood pressure",59,351,NA
"21","Lung/breathing problem",47,398,NA
"22","Mental retardation",0,398,NA
"23","Other injury",8,406,NA
"24","Senility",3,409,NA
"25","Stroke problem",8,417,NA
"26","Vision/problem seeing",35,452,NA
"27","Weight problem",29,481,NA
"28","Other impairment/problem",53,534,NA
"77","Refused",0,534,NA
"99","Don't know",0,534,NA
".","Missing",9288,9822,NA
