"AUAEXCMT.Code.or.Value","AUAEXCMT.Value.Description","AUAEXCMT.Count","AUAEXCMT.Cumulative","AUAEXCMT.Skip.to.Item"
"2","SP refusal",5,5,NA
"3","No time",1,6,NA
"4","Physical limitation",7,13,NA
"5","Communication problem",5,18,NA
"6","Equipment failure",7,25,NA
"7","Sp ill/emergency",1,26,NA
"14","Interrupted",1,27,NA
"38","Technical difficulty",4,31,NA
"56","Came late/left early",53,84,NA
"66","Data acquisition problems",1,85,NA
"72","Error (technician/software/supply)",7,92,NA
"99","Other, specify",17,109,NA
".","Missing",1101,1210,NA
