"DR2CCMTX.Code.or.Value","DR2CCMTX.Value.Description","DR2CCMTX.Count","DR2CCMTX.Cumulative","DR2CCMTX.Skip.to.Item"
"0","Non-combination food",72297,72297,NA
"1","Beverage w/ additions",10492,82789,NA
"2","Cereal w/ additions",6376,89165,NA
"3","Bread/baked products w/ additions",5719,94884,NA
"4","Salad",5655,100539,NA
"5","Sandwiches",13519,114058,NA
"6","Soup",734,114792,NA
"7","Frozen meals",33,114825,NA
"8","Ice cream/frozen yogurt w/ additions",413,115238,NA
"9","Dried beans and vegetable w/ additions",3518,118756,NA
"10","Fruit w/ additions",640,119396,NA
"11","Tortilla products",3736,123132,NA
"12","Meat, poultry, fish",2130,125262,NA
"13","LunchablesÂ®",121,125383,NA
"14","Chips w/ additions",471,125854,NA
"90","Other mixtures",3287,129141,NA
".","Missing",0,129141,NA
