"PFQ063A.Code.or.Value","PFQ063A.Value.Description","PFQ063A.Count","PFQ063A.Cumulative","PFQ063A.Skip.to.Item"
"10","Arthritis/rheumatism",569,569,NA
"11","Back or neck problem",294,863,NA
"12","Birth defect",3,866,NA
"13","Cancer",17,883,NA
"14","Depression/anxiety/emotional problem",51,934,NA
"15","Other developmental problem (such as cerebral palsy)",4,938,NA
"16","Diabetes",48,986,NA
"17","Fractures, bone/joint injury",97,1083,NA
"18","Hearing problem",26,1109,NA
"19","Heart problem",48,1157,NA
"20","Hypertension/high blood pressure",22,1179,NA
"21","Lung/breathing problem",51,1230,NA
"22","Mental retardation",5,1235,NA
"23","Other injury",22,1257,NA
"24","Senility",9,1266,NA
"25","Stroke problem",19,1285,NA
"26","Vision/problem seeing",19,1304,NA
"27","Weight problem",21,1325,NA
"28","Other impairment/problem",220,1545,NA
"77","Refused",0,1545,NA
"99","Don't know",17,1562,NA
".","Missing",8260,9822,NA
