"SMQ621.Code.or.Value","SMQ621.Value.Description","SMQ621.Count","SMQ621.Cumulative","SMQ621.Skip.to.Item"
"1","I have never smoked, not even a puff",854,854,"SMAQUEX2"
"2","1 or more puffs but never a whole cigarette",121,975,"SMAQUEX2"
"3","1 cigarette",13,988,""
"4","2 to 5 cigarettes",29,1017,""
"5","6 to 15 cigarettes",35,1052,""
"6","16 to 25 cigarettes",30,1082,""
"7","26 to 99 cigarettes",26,1108,""
"8","100 or more cigarettes",66,1174,""
"77","Refused",0,1174,"SMAQUEX2"
"99","Don't know",1,1175,"SMAQUEX2"
".","Missing",5615,6790,""
