"OHX30CSC.Code.or.Value","OHX30CSC.Value.Description","OHX30CSC.Count","OHX30CSC.Cumulative","OHX30CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #30","Value was recorded",1957,1957,NA
"0","Lingual surface caries",1,1958,NA
"1","Occlusal/incisal caries",122,2080,NA
"2","Facial surface caries",56,2136,NA
"3","Mesial caries",5,2141,NA
"4","Distal caries",2,2143,NA
"5","Lingual surface restoration",0,2143,NA
"6","Occlusal/incisal restoration",678,2821,NA
"7","Facial surface restoration",133,2954,NA
"8","Mesial restoration",1,2955,NA
"9","Distal restoration",0,2955,NA
"< blank >","Missing",6467,9422,NA
