"OHX25CSC.Code.or.Value","OHX25CSC.Value.Description","OHX25CSC.Count","OHX25CSC.Cumulative","OHX25CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #25","Value was recorded",30,30,NA
"0","Lingual AMALGAM restoration",0,30,NA
"1","Occlusal AMALGAM restoration",0,30,NA
"2","Facial AMALGAM restoration",1,31,NA
"3","Mesial AMALGAM restoration",0,31,NA
"4","Distal AMALGAM restoration",0,31,NA
"5","Lingual OTHER restoration",0,31,NA
"6","Occlusal OTHER restoration",0,31,NA
"7","Facial OTHER restoration",5,36,NA
"8","Mesial OTHER restoration",5,41,NA
"9","Distal OTHER restoration",13,54,NA
"-1","Crown (non-specific full-coverage restoration)",30,84,NA
"-4","Lingual caries",0,84,NA
"-5","Occlusal caries",0,84,NA
"-6","Facial caries",5,89,NA
"-7","Mesial caries",2,91,NA
"-8","Distal caries",8,99,NA
"< blank >","Missing",9066,9165,NA
