"FFQ0021A.Code.or.Value","FFQ0021A.Value.Description","FFQ0021A.Count","FFQ0021A.Cumulative","FFQ0021A.Skip.to.Item"
1,"never",262,262,NA
2,"1-6 times per season",1418,1680,NA
3,"7-11 times per season",701,2381,NA
4,"1 time per month",274,2655,NA
5,"2-3 times per month",611,3266,NA
6,"1 time per week",328,3594,NA
7,"2 times per week",525,4119,NA
8,"3-4 times per week",569,4688,NA
9,"5-6 times per week",161,4849,NA
10,"1 time per day",113,4962,NA
11,"2 or more times per day",126,5088,NA
88,"Blank",1348,6436,NA
99,"Error",36,6472,NA
