"PFQ063D.Code.or.Value","PFQ063D.Value.Description","PFQ063D.Count","PFQ063D.Cumulative","PFQ063D.Skip.to.Item"
"10","Arthritis/rheumatism",6,6,NA
"11","Back or neck problem",7,13,NA
"12","Birth defect",0,13,NA
"13","Cancer",3,16,NA
"14","Depression/anxiety/emotional problem",10,26,NA
"15","Other developmental problem (such as cerebral palsy)",0,26,NA
"16","Diabetes",22,48,NA
"17","Fractures, bone/joint injury",31,79,NA
"18","Hearing problem",26,105,NA
"19","Heart problem",41,146,NA
"20","Hypertension/high blood pressure",86,232,NA
"21","Lung/breathing problem",46,278,NA
"22","Mental retardation",5,283,NA
"23","Other injury",6,289,NA
"24","Senility",8,297,NA
"25","Stroke problem",15,312,NA
"26","Vision/problem seeing",50,362,NA
"27","Weight problem",39,401,NA
"28","Other impairment/problem",31,432,NA
"77","Refused",0,432,NA
"99","Don't know",0,432,NA
".","Missing",8584,9016,NA
