"FFQ0050.Code.or.Value","FFQ0050.Value.Description","FFQ0050.Count","FFQ0050.Cumulative","FFQ0050.Skip.to.Item"
1,"never",2074,2074,NA
2,"1-6 times per year",978,3052,NA
3,"7-11 times per year",506,3558,NA
4,"1 time per month",504,4062,NA
5,"2-3 times per month",785,4847,NA
6,"1 time per week",372,5219,NA
7,"2 times per week",348,5567,NA
8,"3-4 times per week",314,5881,NA
9,"5-6 times per week",133,6014,NA
10,"1 time per day",167,6181,NA
11,"2 or more times per day",109,6290,NA
88,"Blank",160,6450,NA
99,"Error",22,6472,NA
