"FFQ0104.Code.or.Value","FFQ0104.Value.Description","FFQ0104.Count","FFQ0104.Cumulative","FFQ0104.Skip.to.Item"
1,"never",926,926,NA
2,"1-6 times per year",1278,2204,NA
3,"7-11 times per year",866,3070,NA
4,"1 time per month",876,3946,NA
5,"2-3 times per month",1074,5020,NA
6,"1 time per week",552,5572,NA
7,"2 times per week",402,5974,NA
8,"3-4 times per week",230,6204,NA
9,"5-6 times per week",81,6285,NA
10,"1 time per day",49,6334,NA
11,"2 or more times per day",20,6354,NA
88,"Blank",100,6454,NA
99,"Error",18,6472,NA
