"OHX23CSC.Code.or.Value","OHX23CSC.Value.Description","OHX23CSC.Count","OHX23CSC.Cumulative","OHX23CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",81,81,NA
"0","Lingual surface caries",2,83,NA
"2","Facial surface caries",5,88,NA
"3","Mesial caries",7,95,NA
"4","Distal caries",32,127,NA
"5","Lingual surface restoration",1,128,NA
"7","Facial surface restoration",10,138,NA
"8","Mesial restoration",14,152,NA
"9","Distal restoration",24,176,NA
"< blank >","Missing",8671,8847,NA
