"OHX15RSC.Code.or.Value","OHX15RSC.Value.Description","OHX15RSC.Count","OHX15RSC.Cumulative","OHX15RSC.Skip.to.Item"
"Coronal Caries: 2nd restoration code #15","Value was recorded",6,6,NA
"0","lingual AMALGAM restoration",0,6,NA
"1","occlusal AMALGAM restoration",5,11,NA
"2","facial AMALGAM restoration",1,12,NA
"3","mesial AMALGAM restoration",0,12,NA
"4","distal AMALGAM restoration",0,12,NA
"5","lingual OTHER restoration",1,13,NA
"6","occlusal OTHER restoration",7,20,NA
"7","facial OTHER restoration",0,20,NA
"8","mesial OTHER restoration",0,20,NA
"9","distal OTHER restoration",0,20,NA
"-1","Crown (non-specific full-coverage restoration)",0,20,NA
"< blank >","Missing",9145,9165,NA
