"FFQ0068.Code.or.Value","FFQ0068.Value.Description","FFQ0068.Count","FFQ0068.Cumulative","FFQ0068.Skip.to.Item"
1,"never",1060,1060,NA
2,"1-6 times per year",888,1948,NA
3,"7-11 times per year",540,2488,NA
4,"1 time per month",548,3036,NA
5,"2-3 times per month",930,3966,NA
6,"1 time per week",557,4523,NA
7,"2 times per week",625,5148,NA
8,"3-4 times per week",488,5636,NA
9,"5-6 times per week",140,5776,NA
10,"1 time per day",121,5897,NA
11,"2 or more times per day",40,5937,NA
88,"Blank",61,5998,NA
99,"Error",15,6013,NA
