"FFQ0079.Code.or.Value","FFQ0079.Value.Description","FFQ0079.Count","FFQ0079.Cumulative","FFQ0079.Skip.to.Item"
1,"never",1320,1320,NA
2,"1-6 times per year",1735,3055,NA
3,"7-11 times per year",870,3925,NA
4,"1 time per month",852,4777,NA
5,"2-3 times per month",768,5545,NA
6,"1 time per week",223,5768,NA
7,"2 times per week",95,5863,NA
8,"3-4 times per week",35,5898,NA
9,"5-6 times per week",20,5918,NA
10,"1 time per day",10,5928,NA
11,"2 or more times per day",7,5935,NA
88,"Blank",62,5997,NA
99,"Error",16,6013,NA
