"DR1HELPD.Code.or.Value","DR1HELPD.Value.Description","DR1HELPD.Count","DR1HELPD.Cumulative","DR1HELPD.Skip.to.Item"
"1","SP",510,510,NA
"2","Mother of SP",371,881,NA
"3","Father of SP",85,966,NA
"4","Wife of SP",4,970,NA
"5","Husband of SP",3,973,NA
"6","Daughter of SP",15,988,NA
"7","Son of SP",6,994,NA
"8","Grandparent of SP",28,1022,NA
"9","Friend, Partner, Non Relative",3,1025,NA
"10","Translator, not a HH member",36,1061,NA
"11","Child care provider, Caretaker",8,1069,NA
"12","Other Relative",37,1106,NA
"13","No one",8000,9106,NA
"14","Other specify",1,9107,NA
"77","Refused",0,9107,NA
"99","Don't know",0,9107,NA
".","Missing",536,9643,NA
