"OHX26CSC.Code.or.Value","OHX26CSC.Value.Description","OHX26CSC.Count","OHX26CSC.Cumulative","OHX26CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #26","Value was recorded",86,86,NA
"0","Lingual surface caries",2,88,NA
"2","Facial surface caries",20,108,NA
"3","Mesial caries",7,115,NA
"4","Distal caries",5,120,NA
"5","Lingual surface restoration",3,123,NA
"7","Facial surface restoration",29,152,NA
"8","Mesial restoration",6,158,NA
"9","Distal restoration",7,165,NA
"< blank >","Missing",9257,9422,NA
