"OHX21CSC.Code.or.Value","OHX21CSC.Value.Description","OHX21CSC.Count","OHX21CSC.Cumulative","OHX21CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",635,635,NA
"0","Lingual surface caries",0,635,NA
"1","Occlusal/incisal caries",31,666,NA
"2","Facial surface caries",21,687,NA
"3","Mesial caries",2,689,NA
"4","Distal caries",32,721,NA
"5","Lingual surface restoration",1,722,NA
"6","Occlusal/incisal restoration",226,948,NA
"7","Facial surface restoration",35,983,NA
"8","Mesial restoration",2,985,NA
"9","Distal restoration",9,994,NA
"< blank >","Missing",7593,8587,NA
