"OHX09CSC.Code.or.Value","OHX09CSC.Value.Description","OHX09CSC.Count","OHX09CSC.Cumulative","OHX09CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",421,421,NA
"0","Lingual surface caries",10,431,NA
"2","Facial surface caries",18,449,NA
"3","Mesial caries",82,531,NA
"4","Distal caries",34,565,NA
"5","Lingual surface restoration",15,580,NA
"7","Facial surface restoration",15,595,NA
"8","Mesial restoration",87,682,NA
"9","Distal restoration",68,750,NA
"< blank >","Missing",7837,8587,NA
