"OHX05CSC.Code.or.Value","OHX05CSC.Value.Description","OHX05CSC.Count","OHX05CSC.Cumulative","OHX05CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",924,924,NA
"0","Lingual surface caries",0,924,NA
"1","Occlusal/incisal caries",42,966,NA
"2","Facial surface caries",12,978,NA
"3","Mesial caries",4,982,NA
"4","Distal caries",24,1006,NA
"5","Lingual surface restoration",0,1006,NA
"6","Occlusal/incisal restoration",251,1257,NA
"7","Facial surface restoration",13,1270,NA
"8","Mesial restoration",1,1271,NA
"9","Distal restoration",5,1276,NA
"< blank >","Missing",7311,8587,NA
