"OHX02CSC.Code.or.Value","OHX02CSC.Value.Description","OHX02CSC.Count","OHX02CSC.Cumulative","OHX02CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",900,900,NA
"0","Lingual surface caries",11,911,NA
"1","Occlusal/incisal caries",94,1005,NA
"2","Facial surface caries",3,1008,NA
"3","Mesial caries",2,1010,NA
"4","Distal caries",2,1012,NA
"5","Lingual surface restoration",4,1016,NA
"6","Occlusal/incisal restoration",795,1811,NA
"7","Facial surface restoration",4,1815,NA
"8","Mesial restoration",3,1818,NA
"9","Distal restoration",2,1820,NA
"< blank >","Missing",6767,8587,NA
