"OHX12CTC.Code.or.Value","OHX12CTC.Value.Description","OHX12CTC.Count","OHX12CTC.Cumulative","OHX12CTC.Skip.to.Item"
"D","Sound primary tooth",1180,1180,NA
"E","Missing due to dental disease",280,1460,NA
"J","Permanent root tip is present but no restorative replacement is present",57,1517,NA
"K","Primary tooth with surface condition (s)",243,1760,NA
"M","Missing due to other causes",267,2027,NA
"P","Missing due to dental disease but replaced by a removable restoration",840,2867,NA
"Q","Missing due to other causes but replaced by a removable restoration",7,2874,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",55,2929,NA
"S","Sound permanent tooth",4140,7069,NA
"T","Permanent root tip is present but a restorative replacement is present",1,7070,NA
"U","Unerupted",23,7093,NA
"X","Missing due to other causes, but replaced by a fixed restoration",0,7093,NA
"Y","Tooth present, condition cannot be assessed",2,7095,NA
"Z","Permanent tooth with surface condition (s)",1150,8245,NA
"< blank >","Missing",602,8847,NA
