"FFQ0076.Code.or.Value","FFQ0076.Value.Description","FFQ0076.Count","FFQ0076.Cumulative","FFQ0076.Skip.to.Item"
1,"never",789,789,NA
2,"1-6 times per year",930,1719,NA
3,"7-11 times per year",892,2611,NA
4,"1 time per month",892,3503,NA
5,"2-3 times per month",1492,4995,NA
6,"1 time per week",653,5648,NA
7,"2 times per week",400,6048,NA
8,"3-4 times per week",212,6260,NA
9,"5-6 times per week",39,6299,NA
10,"1 time per day",22,6321,NA
11,"2 or more times per day",4,6325,NA
88,"Blank",116,6441,NA
99,"Error",31,6472,NA
