"DR1FS.Code.or.Value","DR1FS.Value.Description","DR1FS.Count","DR1FS.Cumulative","DR1FS.Skip.to.Item"
"1","Store - grocery/supermarket",79702,79702,NA
"2","Restaurant with waiter/waitress",7998,87700,NA
"3","Restaurant fast food/pizza",10302,98002,NA
"4","Bar/tavern/lounge",234,98236,NA
"5","Restaurant no additional information",14,98250,NA
"6","Cafeteria NOT in a K-12 school",1210,99460,NA
"7","Cafeteria in a K-12 school",3390,102850,NA
"8","Child care center",664,103514,NA
"9","Family/adult day care center",90,103604,NA
"10","Soup kitchen/shelter/food pantry",81,103685,NA
"11","Meals on Wheels",179,103864,NA
"12","Community food program - other",178,104042,NA
"13","Community program no additional information",0,104042,NA
"14","Vending machine",378,104420,NA
"15","Common coffee pot or snack tray",463,104883,NA
"16","From someone else/gift",8307,113190,NA
"17","Mail order purchase",267,113457,NA
"18","Residential dining facility",26,113483,NA
"19","Grown or caught by you or someone you know",365,113848,NA
"20","Fish caught by you or someone you know",31,113879,NA
"24","Sport, recreation, or entertainment facility",597,114476,NA
"25","Street vendor, vending truck",432,114908,NA
"26","Fundraiser sales",181,115089,NA
"27","Store - convenience type",3856,118945,NA
"28","Store - no additional info",240,119185,NA
"91","Other, specify",0,119185,NA
"99","Don't know",178,119363,NA
".","Missing",7140,126503,NA
