"OHX03CSC.Code.or.Value","OHX03CSC.Value.Description","OHX03CSC.Count","OHX03CSC.Cumulative","OHX03CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",1689,1689,NA
"0","Lingual surface caries",35,1724,NA
"1","Occlusal/incisal caries",130,1854,NA
"2","Facial surface caries",2,1856,NA
"3","Mesial caries",10,1866,NA
"4","Distal caries",1,1867,NA
"5","Lingual surface restoration",42,1909,NA
"6","Occlusal/incisal restoration",655,2564,NA
"7","Facial surface restoration",4,2568,NA
"8","Mesial restoration",0,2568,NA
"9","Distal restoration",0,2568,NA
"< blank >","Missing",6019,8587,NA
