"PFQ063B.Code.or.Value","PFQ063B.Value.Description","PFQ063B.Count","PFQ063B.Cumulative","PFQ063B.Skip.to.Item"
"10","Arthritis/rheumatism",65,65,NA
"11","Back or neck problem",263,328,NA
"12","Birth defect",4,332,NA
"13","Cancer",17,349,NA
"14","Depression/anxiety/emotional problem",100,449,NA
"15","Other developmental problem (such as cerebral palsy)",3,452,NA
"16","Diabetes",80,532,NA
"17","Fractures, bone/joint injury",109,641,NA
"18","Hearing problem",30,671,NA
"19","Heart problem",40,711,NA
"20","Hypertension/high blood pressure",80,791,NA
"21","Lung/breathing problem",24,815,NA
"22","Mental retardation",4,819,NA
"23","Other injury",16,835,NA
"24","Senility",4,839,NA
"25","Stroke problem",21,860,NA
"26","Vision/problem seeing",22,882,NA
"27","Weight problem",23,905,NA
"28","Other impairment/problem",122,1027,NA
"77","Refused",0,1027,NA
"99","Don't know",0,1027,NA
".","Missing",7323,8350,NA
