"FFQ0055.Code.or.Value","FFQ0055.Value.Description","FFQ0055.Count","FFQ0055.Cumulative","FFQ0055.Skip.to.Item"
1,"never",1035,1035,"FFQ0056"
2,"1-6 times per year",904,1939,""
3,"7-11 times per year",611,2550,""
4,"1 time per month",713,3263,""
5,"2-3 times per month",1170,4433,""
6,"1 time per week",490,4923,""
7,"2 times per week",403,5326,""
8,"3-4 times per week",326,5652,""
9,"5-6 times per week",204,5856,""
10,"1 time per day",192,6048,""
11,"2 or more times per day",240,6288,""
88,"Blank",154,6442,""
99,"Error",30,6472,""
