"OHX05CTC.Code.or.Value","OHX05CTC.Value.Description","OHX05CTC.Count","OHX05CTC.Cumulative","OHX05CTC.Skip.to.Item"
"D","Sound primary tooth",1187,1187,NA
"E","Missing due to dental disease",272,1459,NA
"J","Permanent root tip is present but no restorative replacement is present",57,1516,NA
"K","Primary tooth with surface condition (s)",239,1755,NA
"M","Missing due to other causes",279,2034,NA
"P","Missing due to dental disease but replaced by a removable restoration",838,2872,NA
"Q","Missing due to other causes but replaced by a removable restoration",6,2878,NA
"R","Missing due to dental disease,  but replaced by a fixed restoration",62,2940,NA
"S","Sound permanent tooth",4132,7072,NA
"T","Permanent root tip is present but a restorative replacement is present",1,7073,NA
"U","Unerupted",20,7093,NA
"X","Missing due to other causes, but replaced by a fixed restoration",0,7093,NA
"Y","Tooth present, condition cannot be assessed",1,7094,NA
"Z","Permanent tooth with surface condition (s)",1151,8245,NA
"< blank >","Missing",602,8847,NA
