"OHX04CSC.Code.or.Value","OHX04CSC.Value.Description","OHX04CSC.Count","OHX04CSC.Cumulative","OHX04CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #4","Value was recorded",1366,1366,NA
"0","Lingual surface caries",11,1377,NA
"1","Occlusal/incisal caries",60,1437,NA
"2","Facial surface caries",4,1441,NA
"3","Mesial caries",11,1452,NA
"4","Distal caries",6,1458,NA
"5","Lingual surface restoration",3,1461,NA
"6","Occlusal/incisal restoration",337,1798,NA
"7","Facial surface restoration",6,1804,NA
"8","Mesial restoration",1,1805,NA
"9","Distal restoration",0,1805,NA
"< blank >","Missing",7151,8956,NA
