"OHX27CTC.Code.or.Value","OHX27CTC.Value.Description","OHX27CTC.Count","OHX27CTC.Cumulative","OHX27CTC.Skip.to.Item"
"D","Sound primary tooth",1787,1787,NA
"E","Missing due to dental disease",82,1869,NA
"J","Permanent root tip is present but no restorative replacement is present",36,1905,NA
"K","Primary tooth with surface condition (s)",11,1916,NA
"M","Missing due to other causes",7,1923,NA
"P","Missing due to dental disease, but replaced by a removable restoration",359,2282,NA
"Q","Missing due to other causes, but replaced by a removable restoration",19,2301,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",6,2307,NA
"S","Sound permanent tooth",6044,8351,NA
"T","Permanent root tip is present but a restorative replacement is present",0,8351,NA
"U","Unerupted",184,8535,NA
"X","Missing due to other causes, but replaced by a fixed restoration",0,8535,NA
"Y","Tooth present, condition cannot be assessed",124,8659,NA
"Z","Permanent tooth with surface condition (s)",306,8965,NA
"< blank >","Missing",457,9422,NA
