"OSQ100b.Code.or.Value","OSQ100b.Value.Description","OSQ100b.Count","OSQ100b.Cumulative","OSQ100b.Skip.to.Item"
"10","HEAD/FACE",2,2,NA
"11","UPPER ARM (HUMERUS)",2,4,NA
"12","LOWER ARM BETWEEN WRIST AND ELBOW (DO NOT INCLUDE WRIST)",2,6,NA
"13","ELBOW",4,10,NA
"14","HAND",5,15,NA
"15","FINGERS",11,26,NA
"16","SHOULDER",2,28,NA
"17","COLLAR BONE",1,29,NA
"18","RIBS (EITHER SIDE)",9,38,NA
"19","PELVIS (NOT HIP)",0,38,NA
"20","UPPER LEG (THIGH EXCLUDING HIP)",0,38,NA
"21","LOWER LEG (BETWEEN ANKLE AND KNEE)",2,40,NA
"22","KNEE (PATELLA)",3,43,NA
"23","ANKLE",11,54,NA
"24","HEEL",1,55,NA
"25","FOOT",7,62,NA
"26","TOES",15,77,NA
"27","OTHER (DO NOT SPECIFY)",0,77,NA
"77","Refused",0,77,NA
"99","Don't know",0,77,NA
".","Missing",5858,5935,NA
