"OHX11CSC.Code.or.Value","OHX11CSC.Value.Description","OHX11CSC.Count","OHX11CSC.Cumulative","OHX11CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #11","Value was recorded",348,348,NA
"0","Lingual surface caries",12,360,NA
"2","Facial surface caries",52,412,NA
"3","Mesial caries",14,426,NA
"4","Distal caries",14,440,NA
"5","Lingual surface restoration",25,465,NA
"7","Facial surface restoration",54,519,NA
"8","Mesial restoration",4,523,NA
"9","Distal restoration",10,533,NA
"< blank >","Missing",8423,8956,NA
