"OSQ100c.Code.or.Value","OSQ100c.Value.Description","OSQ100c.Count","OSQ100c.Cumulative","OSQ100c.Skip.to.Item"
"10","HEAD/FACE",1,1,NA
"11","UPPER ARM (HUMERUS)",1,2,NA
"12","LOWER ARM BETWEEN WRIST AND ELBOW (DO NOT INCLUDE WRIST)",1,3,NA
"13","ELBOW",2,5,NA
"14","HAND",0,5,NA
"15","FINGERS",8,13,NA
"16","SHOULDER",0,13,NA
"17","COLLAR BONE",0,13,NA
"18","RIBS (EITHER SIDE)",4,17,NA
"19","PELVIS (NOT HIP)",0,17,NA
"20","UPPER LEG (THIGH EXCLUDING HIP)",1,18,NA
"21","LOWER LEG (BETWEEN ANKLE AND KNEE)",0,18,NA
"22","KNEE (PATELLA)",0,18,NA
"23","ANKLE",4,22,NA
"24","HEEL",1,23,NA
"25","FOOT",2,25,NA
"26","TOES",3,28,NA
"27","OTHER (DO NOT SPECIFY)",1,29,NA
"77","Refused",0,29,NA
"99","Don't know",0,29,NA
".","Missing",5906,5935,NA
