"DR1MNRSP.Code.or.Value","DR1MNRSP.Value.Description","DR1MNRSP.Count","DR1MNRSP.Cumulative","DR1MNRSP.Skip.to.Item"
"1","SP",7384,7384,NA
"2","Mother of SP",2002,9386,NA
"3","Father of SP",189,9575,NA
"4","Wife of SP",22,9597,NA
"5","Husband of SP",6,9603,NA
"6","Daughter of SP",25,9628,NA
"7","Son of SP",5,9633,NA
"8","Grandparent of SP",41,9674,NA
"9","Friend, Partner, Non Relative",3,9677,NA
"10","Translator, not a HH member",23,9700,NA
"11","Child care provider, Caretaker",12,9712,NA
"12","Other Relative",31,9743,NA
"14","Other specify",0,9743,NA
"77","Refused",0,9743,NA
"99","Don't know",0,9743,NA
".","Missing",510,10253,NA
