"OHX08CTC.Code.or.Value","OHX08CTC.Value.Description","OHX08CTC.Count","OHX08CTC.Cumulative","OHX08CTC.Skip.to.Item"
"D","Sound primary tooth",745,745,NA
"E","Missing due to dental disease",107,852,NA
"J","Permanent root tip is present but no restorative replacement is present",27,879,NA
"K","Primary tooth with surface condition (s)",118,997,NA
"M","Missing due to other causes",15,1012,NA
"P","Missing  due to dental disease but replaced by a removable restoration",803,1815,NA
"Q","Missing due to other causes but replaced by a removable restoration",43,1858,NA
"R","Missing due to dental disease but replaced by a fixed restoration",40,1898,NA
"S","Sound permanent tooth",5275,7173,NA
"T","Permanent root tip is present but a restorative replacement is present",1,7174,NA
"U","Unerupted",72,7246,NA
"X","Missing due to other causes, but replaced by a fixed restoration",31,7277,NA
"Y","Tooth present, condition cannot be assessed",191,7468,NA
"Z","Permanent tooth with surface condition (s)",777,8245,NA
"< blank >","Missing",602,8847,NA
