"OHX18CTC.Code.or.Value","OHX18CTC.Value.Description","OHX18CTC.Count","OHX18CTC.Cumulative","OHX18CTC.Skip.to.Item"
"A","Primary tooth with a restored surface condition",0,0,NA
"D","Sound primary tooth",0,0,NA
"E","Missing due to dental disease",1003,1003,NA
"F","Permanent tooth with a restored surface condition",2006,3009,NA
"J","Permanent root tip is present but no restorative replacement is present",75,3084,NA
"K","Primary tooth with a dental carious surface condition",0,3084,NA
"M","Missing due to other causes",21,3105,NA
"P","Missing due to dental disease but replaced by a removable restoration",558,3663,NA
"Q","Missing due to other causes but replaced by a removable restoration",21,3684,NA
"R","Missing due to dental disease but replaced by a fixed restoration",27,3711,NA
"S","Sound permanent tooth",2386,6097,NA
"T","Permanent root tip is present but a restorative replacement is present",0,6097,NA
"U","Unerupted",1830,7927,NA
"X","Missing due to other causes but replaced by a fixed restoration",1,7928,NA
"Y","Tooth present, condition cannot be assessed",3,7931,NA
"Z","Permanent tooth with a dental carious surface condition",169,8100,NA
"< blank >","Missing",266,8366,NA
