"OHX23RSC.Code.or.Value","OHX23RSC.Value.Description","OHX23RSC.Count","OHX23RSC.Cumulative","OHX23RSC.Skip.to.Item"
"Coronal Caries: 2nd restoration code #23","Value was recorded",2,2,NA
"0","lingual AMALGAM restoration",0,2,NA
"1","occlusal AMALGAM restoration",0,2,NA
"2","facial AMALGAM restoration",0,2,NA
"3","mesial AMALGAM restoration",0,2,NA
"4","distal AMALGAM restoration",0,2,NA
"5","lingual OTHER restoration",0,2,NA
"6","occlusal OTHER restoration",0,2,NA
"7","facial OTHER restoration",1,3,NA
"8","mesial OTHER restoration",2,5,NA
"9","distal OTHER restoration",0,5,NA
"-1","Crown (non-specific full-coverage restoration)",1,6,NA
"< blank >","Missing",8360,8366,NA
