"OHX21CTC.Code.or.Value","OHX21CTC.Value.Description","OHX21CTC.Count","OHX21CTC.Cumulative","OHX21CTC.Skip.to.Item"
"A","Primary tooth with a restored surface condition",300,300,NA
"D","Sound primary tooth",1527,1827,NA
"E","Missing due to dental disease",160,1987,NA
"F","Permanent tooth with a restored surface condition",644,2631,NA
"J","Permanent root tip is present but no restorative replacement is present",48,2679,NA
"K","Primary tooth with a dental carious surface condition",70,2749,NA
"M","Missing due to other causes",239,2988,NA
"P","Missing due to dental disease but replaced by a removable restoration",387,3375,NA
"Q","Missing due to other causes but replaced by a removable restoration",15,3390,NA
"R","Missing due to dental disease but replaced by a fixed restoration",17,3407,NA
"S","Sound permanent tooth",5223,8630,NA
"T","Permanent root tip is present but a restorative replacement is present",1,8631,NA
"U","Unerupted",137,8768,NA
"X","Missing due to other causes but replaced by a fixed restoration",0,8768,NA
"Y","Tooth present, condition cannot be assessed",7,8775,NA
"Z","Permanent tooth with a dental carious surface condition",83,8858,NA
"< blank >","Missing",307,9165,NA
