"DR1CCMTX.Code.or.Value","DR1CCMTX.Value.Description","DR1CCMTX.Count","DR1CCMTX.Cumulative","DR1CCMTX.Skip.to.Item"
"0","Non-combination food",72234,72234,NA
"1","Beverage w/ additions",10230,82464,NA
"2","Cereal w/ additions",5789,88253,NA
"3","Bread/baked products w/ additions",5457,93710,NA
"4","Salad",4610,98320,NA
"5","Sandwiches",12737,111057,NA
"6","Soup",1094,112151,NA
"7","Frozen meals",62,112213,NA
"8","Ice cream/frozen yogurt w/ additions",465,112678,NA
"9","Dried beans and vegetable w/ additions",3594,116272,NA
"10","Fruit w/ additions",545,116817,NA
"11","Tortilla products",1382,118199,NA
"12","Meat, poultry, fish",2694,120893,NA
"13","LunchablesÂ®",234,121127,NA
"14","Chips w/ additions",587,121714,NA
"90","Other mixtures",4789,126503,NA
".","Missing",0,126503,NA
