"PFQ063E.Code.or.Value","PFQ063E.Value.Description","PFQ063E.Count","PFQ063E.Cumulative","PFQ063E.Skip.to.Item"
"10","Arthritis/rheumatism",2,2,NA
"11","Back or neck problem",4,6,NA
"12","Birth defect",0,6,NA
"13","Cancer",0,6,NA
"14","Depression/anxiety/emotional problem",2,8,NA
"15","Other developmental problem (such as cerebral palsy)",0,8,NA
"16","Diabetes",6,14,NA
"17","Fractures, bone/joint injury",3,17,NA
"18","Hearing problem",11,28,NA
"19","Heart problem",11,39,NA
"20","Hypertension/high blood pressure",22,61,NA
"21","Lung/breathing problem",25,86,NA
"22","Mental retardation",1,87,NA
"23","Other injury",2,89,NA
"24","Senility",3,92,NA
"25","Stroke problem",9,101,NA
"26","Vision/problem seeing",28,129,NA
"27","Weight problem",30,159,NA
"28","Other impairment/problem",27,186,NA
"77","Refused",0,186,NA
"99","Don't know",0,186,NA
".","Missing",9636,9822,NA
